Stock;Model;Preprocessing;CrossValidation;Parameters;Accuracy_1Days_[-inf, -1.5, 1.5, inf];PreicisionMicro_1Days_[-inf, -1.5, 1.5, inf];PrecisionMarco_1Days_[-inf, -1.5, 1.5, inf];PrecisionWeighted_1Days_[-inf, -1.5, 1.5, inf];Accuracy_1Days_[-inf, 0, inf];Accuracy_5Days_[-inf, -1.5, 1.5, inf];PreicisionMicro_5Days_[-inf, -1.5, 1.5, inf];PrecisionMarco_5Days_[-inf, -1.5, 1.5, inf];PrecisionWeighted_5Days_[-inf, -1.5, 1.5, inf];Accuracy_5Days_[-inf, 0, inf];Accuracy_10Days_[-inf, -1.5, 1.5, inf];PreicisionMicro_10Days_[-inf, -1.5, 1.5, inf];PrecisionMarco_10Days_[-inf, -1.5, 1.5, inf];PrecisionWeighted_10Days_[-inf, -1.5, 1.5, inf];Accuracy_10Days_[-inf, 0, inf];training_time;prediction_time;round
AMGN.csv;Transformer;;;;0,651639344;0,651639344;0,333333333;0,651639344;0,479508197;0,299180328;0,299180328;0,333333333;0,299180328;0,491803279;0,364754098;0,364754098;0,324092856;0,364754098;0,536885246;;;6
AMGN.csv;MLPClassifier;[StandardScaler(), SelectKBest()];TimeSeriesSplit(gap=0, max_train_size=None, n_splits=5, test_size=None);{};0,650205761;0,650205761;0,216735254;0,422767532;0,473251029;0,300411523;0,300411523;0,27216415;0,266615047;0,567901235;0,362139918;0,362139918;0,205319149;0,186577357;0,547325103;0 days 00:00:02.080230;0 days 00:00:00.002997;2
TSLA.csv;AdaBoostClassifier;[StandardScaler(), PCA(), SelectKBest()];TimeSeriesSplit(gap=0, max_train_size=None, n_splits=5, test_size=None);{'PCA__n_components': [60, 70, 80, None], 'SelectKBest__k': [20, 45, 50, 65, 80, 'all'], 'model__n_estimators': [200, 300]};0,333333333;0,333333333;0,34550711;0,355598772;0,448559671;0,530864198;0,530864198;0,231481481;0,384430727;0,609053498;0,456790123;0,456790123;0,298941799;0,522241819;0,551440329;0 days 00:01:17.496822;0 days 00:00:00.032005;1
TSLA.csv;RandomForestClassifier;[StandardScaler(), PCA(), SelectKBest()];TimeSeriesSplit(gap=0, max_train_size=None, n_splits=5, test_size=None);{'PCA__n_components': [60, 70, 80, None], 'SelectKBest__k': [20, 45, 50, 65, 80, 'all'], 'model__n_estimators': [250, 300]};0,308641975;0,308641975;0,349959193;0,379732168;0,497942387;0,386831276;0,386831276;0,361279846;0,476112234;0,427983539;0,423868313;0,423868313;0,305963939;0,533974875;0,469135802;0 days 00:00:57.625978;0 days 00:00:00.025924;1
TSLA.csv;AdaBoostClassifier;[StandardScaler(), PCA(), SelectKBest()];TimeSeriesSplit(gap=0, max_train_size=None, n_splits=5, test_size=None);{'PCA__n_components': [20, 65, 70, None], 'SelectKBest__k': [80, 'all'], 'model__n_estimators': [350, 400, 500], 'model__learning_rate': [1, 1.1, 1.5]};0,304526749;0,304526749;0,407704043;0,434643237;0,46090535;0,596707819;0,596707819;0,425685426;0,529741863;0,617283951;0,41563786;0,41563786;0,288954914;0,50340199;0,641975309;0 days 00:02:41.994305;0 days 00:00:00.036058;2
TSLA.csv;MLPClassifier;[StandardScaler(), PCA(), SelectKBest()];TimeSeriesSplit(gap=0, max_train_size=None, n_splits=5, test_size=None);{'PCA__n_components': [20, 65, 70, None], 'SelectKBest__k': [80, 'all'], 'model__max_iter': [700, 100, 1500], 'model__batch_size': [150, 175, 200], 'model__solver': ['adam'], 'model__activation': ['tanh']};0,320987654;0,320987654;0,433770446;0,469426862;0,53909465;0,362139918;0,362139918;0,407570208;0,570234704;0,485596708;0,37037037;0,37037037;0,344624475;0,538706208;0,444444444;0 days 00:03:41.880707;0 days 00:00:00.003000;2
AAPL.csv;MLPClassifier;[StandardScaler(), PCA(), SelectKBest()];TimeSeriesSplit(gap=0, max_train_size=None, n_splits=5, test_size=None);{'PCA__n_components': [60, 70, 80, None], 'SelectKBest__k': [20, 45, 50, 65, 80, 'all'], 'model__max_iter': [200, 600], 'model__batch_size': [100, 150, 200], 'model__solver': ['adam'], 'model__activation': ['relu', 'tanh']};0,485596708;0,485596708;0,440086091;0,496257768;0,555555556;0,444444444;0,444444444;0,387830208;0,42850037;0,588477366;0,502057613;0,502057613;0,365669516;0,53047202;0,62962963;0 days 00:15:55.552062;0 days 00:00:00.007993;1
TSLA.csv;Random;;;;0,341563786;0,341563786;0,34423775;0,36080751;0,440329218;0,320987654;0,320987654;0,293367387;0,407498256;0,510288066;0,341563786;0,341563786;0,3448119;0,567948035;0,559670782;;;
AMGN.csv;MLPClassifier;[StandardScaler(), SelectKBest()];TimeSeriesSplit(gap=0, max_train_size=None, n_splits=5, test_size=None);{'SelectKBest__k': [50, 'all'], 'model__max_iter': [500], 'model__batch_size': [64, 200], 'model__solver': ['adam'], 'model__activation': ['relu']};0,650205761;0,650205761;0,216735254;0,422767532;0,489711934;0,366255144;0,366255144;0,348148148;0,347599451;0,534979424;0,362139918;0,362139918;0,453168044;0,350933578;0,46090535;0 days 00:00:05.816455;0 days 00:00:00.001912;1
AAPL.csv;RandomForestClassifier;[StandardScaler(), PCA(), SelectKBest()];TimeSeriesSplit(gap=0, max_train_size=None, n_splits=5, test_size=None);{'PCA__n_components': [60, 70, 80, None], 'SelectKBest__k': [20, 45, 50, 65, 80, 'all'], 'model__n_estimators': [250, 300]};0,497942387;0,497942387;0,364864046;0,423165284;0,469135802;0,423868313;0,423868313;0,327184757;0,375471665;0,576131687;0,452674897;0,452674897;0,351918964;0,506253788;0,596707819;0 days 00:01:08.512158;0 days 00:00:00.037822;1
